Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
PIK3CA	5290	ENST00000263967	NM_006218.2	ENST00000263967	NM_006218.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	PI3K
PIK3R1	5295	ENST00000274335	NM_181523.2	ENST00000521381	NM_181523.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GRB1, p85-ALPHA
PPP2R1A	5518	ENST00000322088	NM_014225.5	ENST00000322088	NM_014225.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PP2A-Aalpha, PP2AA, PR65A
PRDM1	639	ENST00000369096	NM_001198.3	ENST00000369096	NM_001198.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BLIMP1, PRDI-BF1
PTCH1	5727	ENST00000331920	NM_000264.3	ENST00000331920	NM_000264.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BCNS, NBCCS, PTCH
PTEN	5728	ENST00000371953	NM_000314.4	ENST00000371953	NM_000314.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BZS, MHAM, MMAC1, PTEN1
PTPN11	5781	ENST00000351677	NM_002834.3	ENST00000351677	NM_002834.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2
RB1	5925	ENST00000267163	NM_000321.2	ENST00000267163	NM_000321.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	OSRC, PPP1R130, RB
RET	5979	ENST00000355710	NM_020975.4	ENST00000355710	NM_020975.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, RET51
RNF43	54894	ENST00000407977	NM_017763.4	ENST00000407977	NM_017763.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DKFZp781H0392, FLJ20315, URCC
SETD2	29072	ENST00000409792	NM_014159.6	ENST00000409792	NM_014159.6	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FLJ23184, HIF-1, HYPB, KIAA1732, KMT3A
SF3B1	23451	ENST00000335508	NM_012433.2	ENST00000335508	NM_012433.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Hsh155, PRPF10, Prp10, SAP155, SF3b155
SMAD2	4087	ENST00000262160	NM_001003652.3	ENST00000262160	NM_001003652.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JV18-1, MADH2, MADR2
SMAD4	4089	ENST00000342988	NM_005359.5	ENST00000342988	NM_005359.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DPC4, MADH4
SMARCA4	6597	ENST00000358026	NM_001128849.1	ENST00000646693	NM_001128849.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BRG1, FLJ39786, SNF2-BETA, SNF2L4, hSNF2b
SMARCB1	6598	ENST00000263121	NM_003073.3	ENST00000618915	NM_003073.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BAF47, Ini1, PPP1R144, RDT, SNF5, SNF5L1, Sfh1p, Snr1, hSNFS
SMO	6608	ENST00000249373	NM_005631.4	ENST00000249373	NM_005631.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	FZD11, SMOH
SOCS1	8651	ENST00000332029	NM_003745.1	ENST00000332029	NM_003745.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Cish1, JAB, SOCS-1, SSI-1, TIP3
SPOP	8405	ENST00000347630	NM_001007228.1	ENST00000347630	NM_001007228.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BTBD32, TEF2
STAG2	10735	ENST00000218089	NM_001042749.1	ENST00000218089	NM_001042749.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	SA-2, SA2, SCC3B
STK11	6794	ENST00000326873	NM_000455.4	ENST00000326873	NM_000455.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	LKB1, PJS
TET2	54790	ENST00000380013	NM_001127208.2	ENST00000380013	NM_001127208.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FLJ20032, KIAA1546
TNFAIP3	7128	ENST00000237289	NM_006290.3	ENST00000237289	NM_006290.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	A20, OTUD7C
TP53	7157	ENST00000269305	NM_000546.5	ENST00000269305	NM_000546.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	LFS1, p53
TSC1	7248	ENST00000298552	NM_000368.4	ENST00000298552	NM_000368.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0243, TSC, hamartin
U2AF1	7307	ENST00000291552	NM_006758.2	ENST00000291552	NM_006758.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	RNU2AF1, U2AF35, U2AFBP
VHL	7428	ENST00000256474	NM_000551.3	ENST00000256474	NM_000551.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	VHL1
WT1	7490	ENST00000332351	NM_024426.4	ENST00000452863	NM_024426.4	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	AWT1, GUD, NPHS4, WAGR, WIT-2
AKT2	208	ENST00000392038	NM_001626.4	ENST00000392038	NM_001626.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	PKB?
ARID2	196528	ENST00000334344	NM_152641.2	ENST00000334344	NM_152641.2	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	BAF200, DKFZp686G052, FLJ30619, KIAA1557
ATR	545	ENST00000350721	NM_001184.3	ENST00000350721	NM_001184.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	FRP1, MEC1, SCKL, SCKL1
B2M	567	ENST00000558401	NM_004048.2	ENST00000559916	NM_004048.2	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	
BARD1	580	ENST00000260947	NM_000465.2	ENST00000260947	NM_000465.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	
BCL6	604	ENST00000232014	NM_001706.4	ENST00000232014	NM_001706.4	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	BCL5, BCL6A, LAZ3, ZBTB27, ZNF51
BRD4	23476	ENST00000263377	NM_058243.2	ENST00000263377	NM_058243.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	HUNK1, HUNKI, MCAP
BRIP1	83990	ENST00000259008	NM_032043.2	ENST00000259008	NM_032043.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	FANCJ
BTK	695	ENST00000308731	NM_000061.2	ENST00000308731	NM_000061.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	AGMX1, ATK, IMD1, PSCTK1, XLA
CALR	811	ENST00000316448	NM_004343.3	ENST00000316448	NM_004343.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	CRT, FLJ26680, RO, SSA, cC1qR
CASP8	841	ENST00000358485	NM_001080125.1	ENST00000358485	NM_001080125.1	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Casp-8, FLICE, MACH, MCH5
CBFB	865	ENST00000412916	NM_022845.2	ENST00000412916	NM_022845.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	PEBP2B
CCND1	595	ENST00000227507	NM_053056.2	ENST00000227507	NM_053056.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	BCL1, D11S287E, PRAD1, U21B31
CCND2	894	ENST00000261254	NM_001759.3	ENST00000261254	NM_001759.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	
CCND3	896	ENST00000372991	NM_001760.3	ENST00000372991	NM_001760.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	
CCNE1	898	ENST00000262643	NM_001238.2	ENST00000262643	NM_001238.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	CCNE
CD274	29126	ENST00000381577	NM_014143.3	ENST00000381577	NM_014143.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1
CD79A	973	ENST00000221972	NM_001783.3	ENST00000221972	NM_001783.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	IGA, MB-1
CD79B	974	ENST00000392795	NM_001039933.1	ENST00000392795	NM_001039933.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	B29, IGB
CDK12	51755	ENST00000447079	NM_016507.2	ENST00000447079	NM_016507.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	CRK7, CRKR, CRKRS, KIAA0904
CDK4	1019	ENST00000257904	NM_000075.3	ENST00000257904	NM_000075.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	PSK-J3
CDK6	1021	ENST00000265734	NM_001145306.1	ENST00000265734	NM_001145306.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	PLSTIRE
CDKN1B	1027	ENST00000228872	NM_004064.3	ENST00000228872	NM_004064.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	KIP1, P27KIP1
CDKN2C	1031	ENST00000262662	NM_078626.2	ENST00000262662	NM_078626.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	INK4C
CHEK2	11200	ENST00000328354	NM_007194.3	ENST00000404276	NM_007194.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	CHK2, HuCds1, PP1425, RAD53, bA444G7
CRLF2	64109	ENST00000381566	NM_022148.2	ENST00000381566	NM_022148.2	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	CRL2, TSLPR
CSF1R	1436	ENST00000286301	NM_005211.3	ENST00000286301	NM_005211.3	6	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	C-FMS, CD115, CSFR, FMS
CSF3R	1441	ENST00000361632	NM_000760.3	ENST00000361632	NM_000760.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	CD114, GCSFR
CTCF	10664	ENST00000264010	NM_006565.3	ENST00000264010	NM_006565.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	CFAP108, FAP108
CXCR4	7852	ENST00000241393	NM_003467.2	ENST00000241393	NM_003467.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	CD184, D2S201E, HM89, HSY3RR, LESTR, NPY3R, NPYY3R, fusin
DDR2	4921	ENST00000367921	NM_006182.2	ENST00000367921	NM_006182.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	NTRKR3, TYRO10
ERBB3	2065	ENST00000267101	NM_001982.3	ENST00000267101	NM_001982.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	HER3, LCCS2
ERBB4	2066	ENST00000342788	NM_005235.2	ENST00000342788	NM_005235.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	ALS19, HER4
ERG	2078	ENST00000288319	NM_182918.3	ENST00000288319	NM_182918.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	erg-3
ESR1	2099	ENST00000206249	NM_001122740.1	ENST00000206249	NM_001122740.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	ER-alpha, ESR, Era, NR3A1
ETV6	2120	ENST00000396373	NM_001987.4	ENST00000396373	NM_001987.4	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	TEL
FANCA	2175	ENST00000389301	NM_000135.2	ENST00000389301	NM_000135.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	FA-H, FAA, FACA, FANCH
FANCC	2176	ENST00000289081	NM_000136.2	ENST00000289081	NM_000136.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	FA3, FAC, FACC
FGFR1	2260	ENST00000425967	NM_001174067.1	ENST00000425967	NM_001174067.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	BFGFR, CD331, CEK, FLT2, H5, KAL2, N-SAM
FGFR4	2264	ENST00000292408	NM_213647.1	ENST00000292408	NM_213647.1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	CD334, JTK2
FLCN	201163	ENST00000285071	NM_144997.5	ENST00000285071	NM_144997.5	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	BHD, DENND8B, MGC17998, MGC23445
FUBP1	8880	ENST00000370768	NM_003902.3	ENST00000370768	NM_003902.3	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	FUBP
GATA1	2623	ENST00000376670	NM_002049.3	ENST00000376670	NM_002049.3	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	ERYF1, GATA-1, GF1, NF-E1, NFE1
GATA2	2624	ENST00000341105	NM_032638.4	ENST00000341105	NM_032638.4	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	NFE1B
H3-3A	3020	ENST00000366813	NM_002107.4	ENST00000366815	NM_002107.4	6	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	H3.3A, H3F3, H3F3A
H3C2	8358	ENST00000244661	NM_003537.3	ENST00000621411	NM_003537.3	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	H3/l, H3FL, HIST1H3B
IKZF1	10320	ENST00000331340	NM_006060.4	ENST00000331340	NM_006060.4	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	Hs.54452, IKAROS, LyF-1, PPP1R92, ZNFN1A1, hIk-1
